SI_NO,SKU_Codes,Brand_Name,Item_name,Category,Quantities,UQC,ordered_unit,family_key
1229.0,RAN-ORG-NAR-1LTR,ranchi fresh,nariyal sukha,organic,1 ltr,LTR,packets,ranchi fresh nariyal sukha
1230.0,SHA-SNA-BAR-1LTR,shakti foods,barley flour,snacks,1 ltr,LTR,packets,shakti foods barley flour
1231.0,LOK-REA-PEA-500GM,lokmanya foods,peanut butter (natural),ready mix,500 gm,GM,packets,lokmanya foods peanut butter (natural)
1232.0,PAT-CON-SAT-1LTR,patanjali nature,sattu drink mix,condiments,1 ltr,LTR,packets,patanjali nature sattu drink mix
1233.0,SHR-ORG-BAR-1KG,shree ganesh,barley flour,organic,1 kg,KG,packets,shree ganesh barley flour
1234.0,GOK-REA-NAR-250GM,gokul fresh,nariyal sukha,ready mix,250 gm,GM,packets,gokul fresh nariyal sukha
1235.0,TRI-SNA-MAS-500GM,triveni foods,masala papad,snacks,500 gm,GM,packets,triveni foods masala papad
1236.0,SWA-REA-COL-250GM,swaadindia,cold pressed mustard oil,ready mix,250 gm,GM,bottles,swaadindia cold pressed mustard oil
1237.0,TRI-CON-TAM-1KG,triveni foods,tamarind paste,condiments,1 kg,KG,packets,triveni foods tamarind paste
1238.0,HIM-HEA-TOO-250GM,himalaya greens,toor dal premium,health,250 gm,GM,packets,himalaya greens toor dal premium
1239.0,SHA-ORG-SES-250GM,shakti foods,sesame oil,organic,250 gm,GM,bottles,shakti foods sesame oil
1240.0,TRI-DAI-MAS-250G,triveni foods,masala papad,dairy,250 gm,GM,packets,triveni foods masala papad
1241.0,ANA-SNA-ORG-500GM,anand bazaar,organic rava,snacks,500 gm,GM,packets,anand bazaar organic rava
1242.0,KIS-BEV-TOO-250GM,kisan plus,toor dal premium,beverage,250 gm,GM,packets,kisan plus toor dal premium
1243.0,DES-BEV-ORG-500GM,deshvidesh,organic rava,beverage,500 gm,GM,packets,deshvidesh organic rava
1245.0,TAS-STA-TOO-250GM,tastybasket,toor dal premium,staples,250 gm,GM,packets,tastybasket toor dal premium
1246.0,RAJ-BEV-BLA-500GM,rajwadi foods,black rice,beverage,500 gm,GM,bags,rajwadi foods black rice
1247.0,VED-HEA-BAR-500ML,vedic provisions,barley flour,health,500 ml,ML,packets,vedic provisions barley flour
1248.0,RAJ-REA-TAM-500ML,rajwadi foods,tamarind paste,ready mix,500 ml,ML,packets,rajwadi foods tamarind paste
1249.0,GRE-REA-BLA-1LTR,green valley,black rice,ready mix,1 ltr,LTR,bags,green valley black rice
1250.0,HEA-STA-MUS-100GM,healthyroots,mustard chutney,staples,100 gm,GM,packets,healthyroots mustard chutney
1251.0,ORG-ORG-SAT-1LTR,organic roots,sattu drink mix,organic,1 ltr,LTR,packets,organic roots sattu drink mix
1252.0,ANN-REA-MUS-1LTR,annapoorna farms,mustard chutney,ready mix,1 ltr,LTR,packets,annapoorna farms mustard chutney
1253.0,TAS-REA-GAR-250GM,tastybasket,garlic paste,ready mix,250 gm,GM,packets,tastybasket garlic paste
1254.0,HEA-REA-PRE-500ML,healthyroots,premium sattu,ready mix,500 ml,ML,packets,healthyroots premium sattu
1255.0,ANN-REA-FOX-500ML,annapoorna farms,foxtail millet,ready mix,500 ml,ML,packets,annapoorna farms foxtail millet
1256.0,SWA-SPI-COL-1LTR,swadisht,cold pressed mustard oil,spices,1 ltr,LTR,bottles,swadisht cold pressed mustard oil
1257.0,KHA-HEA-PEA-1KG,khanna foods,peanut butter (natural),health,1 kg,KG,packets,khanna foods peanut butter (natural)
1258.0,RAS-HEA-FOX-250GM,rasoi magic,foxtail millet,health,250 gm,GM,packets,rasoi magic foxtail millet
1259.0,IND-HEA-KAS-100GM,indian harvest,kasuri methi,health,100 gm,GM,packets,indian harvest kasuri methi
1260.0,TAS-BEV-TOO-250GM,tastybasket,toor dal premium,beverage,250 gm,GM,packets,tastybasket toor dal premium
1261.0,GRE-SNA-MAS-1LTR,green valley,masala papad,snacks,1 ltr,LTR,packets,green valley masala papad
1262.0,SHA-CON-PEA-500GM,shakti foods,peanut butter (natural),condiments,500 gm,GM,packets,shakti foods peanut butter (natural)
1263.0,HIM-REA-COC-500ML,himalaya greens,coconut flour,ready mix,500 ml,ML,packets,himalaya greens coconut flour
1264.0,PAT-STA-GUL-500GM,patanjali nature,gulkand syrup,staples,500 gm,GM,packets,patanjali nature gulkand syrup
1265.0,GOK-ORG-KAS-250GM,gokul fresh,kasuri methi,organic,250 gm,GM,packets,gokul fresh kasuri methi
1266.0,SHR-BEV-SAT-100GM,shree ganesh,sattu drink mix,beverage,100 gm,GM,packets,shree ganesh sattu drink mix
1267.0,SHA-ORG-COL-500ML,shakti foods,cold pressed mustard oil,organic,500 ml,ML,bottles,shakti foods cold pressed mustard oil
1268.0,SHA-ORG-GAR-1KG,shakti foods,garlic paste,organic,1 kg,KG,packets,shakti foods garlic paste
1269.0,ORG-STA-TAM-500GM,organic roots,tamarind paste,staples,500 gm,GM,packets,organic roots tamarind paste
1270.0,ANN-DAI-GAR-1KG,annapoorna farms,garlic paste,dairy,1 kg,KG,packets,annapoorna farms garlic paste
1271.0,DES-HEA-FOX-100GM,deshvidesh,foxtail millet,health,100 gm,GM,packets,deshvidesh foxtail millet
1272.0,MAN-CON-ORG-1LTR,mandala foods,organic rava,condiments,1 ltr,LTR,packets,mandala foods organic rava
1273.0,ANA-BEV-JAG-1KG,anand bazaar,jaggery powder,beverage,1 kg,KG,packets,anand bazaar jaggery powder
1274.0,LOK-CON-SES-1LTR,lokmanya foods,sesame oil,condiments,1 ltr,LTR,bottles,lokmanya foods sesame oil
1275.0,MAN-HEA-CHI-1LTR,mandala foods,chilli flakes,health,1 ltr,LTR,packets,mandala foods chilli flakes
1276.0,GOK-HEA-CHI-1KG,gokul fresh,chilli flakes,health,1 kg,KG,packets,gokul fresh chilli flakes
1277.0,RAJ-STA-BLA-250GM,rajwadi foods,black rice,staples,250 gm,GM,bags,rajwadi foods black rice
1278.0,SWA-SPI-MAS-500ML,swadisht,masala papad,spices,500 ml,ML,packets,swadisht masala papad
1279.0,SWA-HEA-FOX-500ML,swaadindia,foxtail millet,health,500 ml,ML,packets,swaadindia foxtail millet
1280.0,SAP-SNA-MAS-1LTR,sapna foods,masala papad,snacks,1 ltr,LTR,packets,sapna foods masala papad
1281.0,JAI-SNA-JAG-500GM,jai kisan,jaggery powder,snacks,500 gm,GM,packets,jai kisan jaggery powder
1282.0,HIM-SPI-GAR-500GM,himalaya greens,garlic paste,spices,500 gm,GM,packets,himalaya greens garlic paste
1283.0,RAJ-REA-BLA-250GM,rajwadi foods,black rice,ready mix,250 gm,GM,bags,rajwadi foods black rice
1284.0,SAH-SNA-TOO-250GM,sahyadri farms,toor dal premium,snacks,250 gm,GM,packets,sahyadri farms toor dal premium
1285.0,ANM-REA-COL-1KG,anmol fresh,cold pressed mustard oil,ready mix,1 kg,KG,bottles,anmol fresh cold pressed mustard oil
1286.0,SWA-CON-GAR-100GM,swadisht,garlic paste,condiments,100 gm,GM,packets,swadisht garlic paste
1287.0,ORG-DAI-BLA-100GM,organic roots,black rice,dairy,100 gm,GM,bags,organic roots black rice
1288.0,SAH-SNA-KAS-500ML,sahyadri farms,kasuri methi,snacks,500 ml,ML,packets,sahyadri farms kasuri methi
1289.0,TAS-HEA-BAR-1LTR,tastybasket,barley flour,health,1 ltr,LTR,packets,tastybasket barley flour
1290.0,MAN-REA-COC-500GM,mandala foods,coconut flour,ready mix,500 gm,GM,packets,mandala foods coconut flour
1291.0,RAS-HEA-CHI-100GM,rasoi magic,chilli flakes,health,100 gm,GM,packets,rasoi magic chilli flakes
1292.0,PUR-STA-NAR-500ML,puredesi,nariyal sukha,staples,500 ml,ML,packets,puredesi nariyal sukha
1293.0,MAN-CON-SES-250GM,mandala foods,sesame oil,condiments,250 gm,GM,bottles,mandala foods sesame oil
1294.0,KHA-ORG-KAS-1LTR,khanna foods,kasuri methi,organic,1 ltr,LTR,packets,khanna foods kasuri methi
1295.0,TAS-ORG-SES-500GM,tastybasket,sesame oil,organic,500 gm,GM,bottles,tastybasket sesame oil
1296.0,SAP-SPI-BAR-250GM,sapna foods,barley flour,spices,250 gm,GM,packets,sapna foods barley flour
1297.0,TRI-SPI-COL-500ML,triveni foods,cold pressed mustard oil,spices,500 ml,ML,bottles,triveni foods cold pressed mustard oil
1298.0,TRI-CON-TAM-500GM,triveni foods,tamarind paste,condiments,500 gm,GM,packets,triveni foods tamarind paste
1299.0,SAH-STA-GUL-500ML,sahyadri farms,gulkand syrup,staples,500 ml,ML,packets,sahyadri farms gulkand syrup
1300.0,PUR-BEV-GAR-1LTR,puredesi,garlic paste,beverage,1 ltr,LTR,packets,puredesi garlic paste
1301.0,BHA-DAI-FOX-1KG,bharat organics,foxtail millet,dairy,1 kg,KG,packets,bharat organics foxtail millet
1302.0,HEA-REA-BLA-250GM,healthyroots,black rice,ready mix,250 gm,GM,bags,healthyroots black rice
1303.0,PAT-STA-SES-1KG,patanjali nature,sesame oil,staples,1 kg,KG,bottles,patanjali nature sesame oil
1304.0,DES-SNA-PEA-500ML,desimart,peanut butter (natural),snacks,500 ml,ML,packets,desimart peanut butter (natural)
1305.0,TAS-SNA-FOX-500GM,tastybasket,foxtail millet,snacks,500 gm,GM,packets,tastybasket foxtail millet
1306.0,JAI-SPI-JAG-1LTR,jai kisan,jaggery powder,spices,1 ltr,LTR,packets,jai kisan jaggery powder
1307.0,LOK-BEV-JAG-500GM,lokmanya foods,jaggery powder,beverage,500 gm,GM,packets,lokmanya foods jaggery powder
1308.0,LOK-CON-TAM-500GM,lokmanya foods,tamarind paste,condiments,500 gm,GM,packets,lokmanya foods tamarind paste
1309.0,SAP-STA-PEA-250GM,sapna foods,peanut butter (natural),staples,250 gm,GM,packets,sapna foods peanut butter (natural)
1310.0,SWA-SPI-MUS-100GM,swaadindia,mustard chutney,spices,100 gm,GM,packets,swaadindia mustard chutney
1311.0,RAN-DAI-MUS-1LTR,ranchi fresh,mustard chutney,dairy,1 ltr,LTR,packets,ranchi fresh mustard chutney
1312.0,RAS-SPI-MUS-500GM,rasoi magic,mustard chutney,spices,500 gm,GM,packets,rasoi magic mustard chutney
1313.0,KIS-BEV-PRE-500ML,kisan plus,premium sattu,beverage,500 ml,ML,packets,kisan plus premium sattu
1314.0,SWA-SPI-COC-100GM,swadisht,coconut flour,spices,100 gm,GM,packets,swadisht coconut flour
1315.0,RAJ-SNA-PRE-1LTR,rajwadi foods,premium sattu,snacks,1 ltr,LTR,packets,rajwadi foods premium sattu
1316.0,HIM-ORG-GUL-500GM,himalaya greens,gulkand syrup,organic,500 gm,GM,packets,himalaya greens gulkand syrup
1317.0,DES-SPI-GAR-500GM,desimart,garlic paste,spices,500 gm,GM,packets,desimart garlic paste
1318.0,RAS-HEA-SAT-250GM,rasoi magic,sattu drink mix,health,250 gm,GM,packets,rasoi magic sattu drink mix
1319.0,BHA-CON-GUL-500ML,bharat organics,gulkand syrup,condiments,500 ml,ML,packets,bharat organics gulkand syrup
1320.0,SAH-DAI-MUS-100GM,sahyadri farms,mustard chutney,dairy,100 gm,GM,packets,sahyadri farms mustard chutney
1321.0,PAT-SNA-KAS-100GM,patanjali nature,kasuri methi,snacks,100 gm,GM,packets,patanjali nature kasuri methi
1322.0,JAI-DAI-CHI-250GM,jai kisan,chilli flakes,dairy,250 gm,GM,packets,jai kisan chilli flakes
1323.0,VED-STA-MUS-500ML,vedic provisions,mustard chutney,staples,500 ml,ML,packets,vedic provisions mustard chutney
1324.0,DES-ORG-COL-100GM,desimart,cold pressed mustard oil,organic,100 gm,GM,bottles,desimart cold pressed mustard oil
1325.0,SWA-SPI-COL-100GM,swadisht,cold pressed mustard oil,spices,100 gm,GM,bottles,swadisht cold pressed mustard oil
1326.0,ORG-ORG-COL-500GM,organic roots,cold pressed mustard oil,organic,500 gm,GM,bottles,organic roots cold pressed mustard oil
1327.0,SHA-STA-GUL-500ML,shakti foods,gulkand syrup,staples,500 ml,ML,packets,shakti foods gulkand syrup
1328.0,SAH-HEA-PRE-500GM,sahyadri farms,premium sattu,health,500 gm,GM,packets,sahyadri farms premium sattu
1329.0,ANA-REA-PRE-100GM,anand bazaar,premium sattu,ready mix,100 gm,GM,packets,anand bazaar premium sattu
1330.0,GOK-ORG-GAR-500ML,gokul fresh,garlic paste,organic,500 ml,ML,packets,gokul fresh garlic paste
1331.0,MAN-CON-MUS-100GM,mandala foods,mustard chutney,condiments,100 gm,GM,packets,mandala foods mustard chutney
1332.0,SHA-DAI-PRE-1KG,shakti foods,premium sattu,dairy,1 kg,KG,packets,shakti foods premium sattu
1333.0,ORG-ORG-MUS-1LTR,organic roots,mustard chutney,organic,1 ltr,LTR,packets,organic roots mustard chutney
1334.0,TAS-STA-ORG-500ML,tastybasket,organic rava,staples,500 ml,ML,packets,tastybasket organic rava
1335.0,TRI-BEV-PRE-100GM,triveni foods,premium sattu,beverage,100 gm,GM,packets,triveni foods premium sattu
1336.0,GOK-SPI-PRE-500ML,gokul fresh,premium sattu,spices,500 ml,ML,packets,gokul fresh premium sattu
1337.0,GOK-HEA-KAS-250GM,gokul fresh,kasuri methi,health,250 gm,GM,packets,gokul fresh kasuri methi
1338.0,DES-REA-GAR-1KG,desimart,garlic paste,ready mix,1 kg,KG,packets,desimart garlic paste
1339.0,SHR-REA-ORG-250GM,shree ganesh,organic rava,ready mix,250 gm,GM,packets,shree ganesh organic rava
1340.0,VED-SNA-COL-500GM,vedic provisions,cold pressed mustard oil,snacks,500 gm,GM,bottles,vedic provisions cold pressed mustard oil
1341.0,VED-STA-CHI-100GM,vedic provisions,chilli flakes,staples,100 gm,GM,packets,vedic provisions chilli flakes
1342.0,BHA-CON-FOX-100GM,bharat organics,foxtail millet,condiments,100 gm,GM,packets,bharat organics foxtail millet
1343.0,ORG-SPI-MAS-100GM,organic roots,masala papad,spices,100 gm,GM,packets,organic roots masala papad
1344.0,BHA-STA-ORG-500ML,bharat organics,organic rava,staples,500 ml,ML,packets,bharat organics organic rava
1345.0,BHA-CON-NAR-1LTR,bharat organics,nariyal sukha,condiments,1 ltr,LTR,packets,bharat organics nariyal sukha
1346.0,RAN-SNA-NAR-500GM,ranchi fresh,nariyal sukha,snacks,500 gm,GM,packets,ranchi fresh nariyal sukha
1347.0,GRE-REA-PRE-1LTR,green valley,premium sattu,ready mix,1 ltr,LTR,packets,green valley premium sattu
1348.0,ANA-CON-PRE-100GM,anand bazaar,premium sattu,condiments,100 gm,GM,packets,anand bazaar premium sattu
1349.0,SHR-BEV-PEA-500GM,shree ganesh,peanut butter (natural),beverage,500 gm,GM,packets,shree ganesh peanut butter (natural)
1350.0,DES-CON-FOX-1KG,deshvidesh,foxtail millet,condiments,1 kg,KG,packets,deshvidesh foxtail millet
1351.0,SAH-ORG-JAG-500ML,sahyadri farms,jaggery powder,organic,500 ml,ML,packets,sahyadri farms jaggery powder
1352.0,TRI-BEV-SES-500ML,triveni foods,sesame oil,beverage,500 ml,ML,bottles,triveni foods sesame oil
1353.0,VED-REA-CHI-500GM,vedic provisions,chilli flakes,ready mix,500 gm,GM,packets,vedic provisions chilli flakes
1354.0,BHA-SNA-BLA-1KG,bharat organics,black rice,snacks,1 kg,KG,bags,bharat organics black rice
1355.0,VED-CON-SAT-250GM,vedic provisions,sattu drink mix,condiments,250 gm,GM,packets,vedic provisions sattu drink mix
1356.0,SWA-CON-ORG-500GM,swadisht,organic rava,condiments,500 gm,GM,packets,swadisht organic rava
1357.0,PUR-SPI-COC-1KG,puredesi,coconut flour,spices,1 kg,KG,packets,puredesi coconut flour
1358.0,SWA-DAI-PRE-1LTR,swaadindia,premium sattu,dairy,1 ltr,LTR,packets,swaadindia premium sattu
1359.0,GOK-ORG-MUS-500ML,gokul fresh,mustard chutney,organic,500 ml,ML,packets,gokul fresh mustard chutney
1360.0,SWA-STA-SAT-100GM,swadisht,sattu drink mix,staples,100 gm,GM,packets,swadisht sattu drink mix
1361.0,SWA-SPI-GAR-500GM,swaadindia,garlic paste,spices,500 gm,GM,packets,swaadindia garlic paste
1362.0,ANA-ORG-GAR-500GM,anand bazaar,garlic paste,organic,500 gm,GM,packets,anand bazaar garlic paste
1363.0,VED-DAI-COL-500ML,vedic provisions,cold pressed mustard oil,dairy,500 ml,ML,bottles,vedic provisions cold pressed mustard oil
1364.0,DES-CON-COC-100GM,desimart,coconut flour,condiments,100 gm,GM,packets,desimart coconut flour
1365.0,ANN-REA-SAT-500GM,annapoorna farms,sattu drink mix,ready mix,500 gm,GM,packets,annapoorna farms sattu drink mix
1366.0,ANA-CON-SES-1KG,anand bazaar,sesame oil,condiments,1 kg,KG,bottles,anand bazaar sesame oil
1367.0,RAJ-SPI-TOO-500GM,rajwadi foods,toor dal premium,spices,500 gm,GM,packets,rajwadi foods toor dal premium
1368.0,BHA-DAI-PEA-1LTR,bharat organics,peanut butter (natural),dairy,1 ltr,LTR,packets,bharat organics peanut butter (natural)
1369.0,PAT-HEA-KAS-250GM,patanjali nature,kasuri methi,health,250 gm,GM,packets,patanjali nature kasuri methi
1370.0,TRI-STA-GAR-500ML,triveni foods,garlic paste,staples,500 ml,ML,packets,triveni foods garlic paste
1371.0,SHA-BEV-MAS-500GM,shakti foods,masala papad,beverage,500 gm,GM,packets,shakti foods masala papad
1372.0,SWA-CON-JAG-100GM,swaadindia,jaggery powder,condiments,100 gm,GM,packets,swaadindia jaggery powder
1373.0,HIM-STA-COL-100GM,himalaya greens,cold pressed mustard oil,staples,100 gm,GM,bottles,himalaya greens cold pressed mustard oil
1374.0,SAP-HEA-TOO-100GM,sapna foods,toor dal premium,health,100 gm,GM,packets,sapna foods toor dal premium
1375.0,GRE-ORG-MAS-500ML,green valley,masala papad,organic,500 ml,ML,packets,green valley masala papad
1376.0,SHR-ORG-BLA-1LTR,shree ganesh,black rice,organic,1 ltr,LTR,bags,shree ganesh black rice
1377.0,PAT-SNA-BLA-250G,patanjali nature,black rice,snacks,250 gm,GM,bags,patanjali nature black rice
1378.0,VED-CON-COC-500ML,vedic provisions,coconut flour,condiments,500 ml,ML,packets,vedic provisions coconut flour
1379.0,SAP-DAI-TAM-100GM,sapna foods,tamarind paste,dairy,100 gm,GM,packets,sapna foods tamarind paste
1380.0,VED-STA-MAS-250GM,vedic provisions,masala papad,staples,250 gm,GM,packets,vedic provisions masala papad
1381.0,DES-CON-NAR-1KG,desimart,nariyal sukha,condiments,1 kg,KG,packets,desimart nariyal sukha
1382.0,IND-HEA-GAR-250GM,indian harvest,garlic paste,health,250 gm,GM,packets,indian harvest garlic paste
1383.0,GRE-SPI-ORG-1LTR,green valley,organic rava,spices,1 ltr,LTR,packets,green valley organic rava
1384.0,GRE-CON-TAM-250GM,green valley,tamarind paste,condiments,250 gm,GM,packets,green valley tamarind paste
1385.0,HEA-BEV-FOX-1KG,healthyroots,foxtail millet,beverage,1 kg,KG,packets,healthyroots foxtail millet
1386.0,PUR-CON-GAR-1KG,puredesi,garlic paste,condiments,1 kg,KG,packets,puredesi garlic paste
1387.0,GOK-HEA-MAS-100GM,gokul fresh,masala papad,health,100 gm,GM,packets,gokul fresh masala papad
1388.0,VED-CON-COC-1LTR,vedic provisions,coconut flour,condiments,1 ltr,LTR,packets,vedic provisions coconut flour
1389.0,ANM-ORG-PRE-1LTR,anmol fresh,premium sattu,organic,1 ltr,LTR,packets,anmol fresh premium sattu
1390.0,JAI-CON-KAS-250GM,jai kisan,kasuri methi,condiments,250 gm,GM,packets,jai kisan kasuri methi
1391.0,RAS-DAI-BAR-250GM,rasoi magic,barley flour,dairy,250 gm,GM,packets,rasoi magic barley flour
1392.0,PUR-REA-CHI-500ML,puredesi,chilli flakes,ready mix,500 ml,ML,packets,puredesi chilli flakes
1393.0,MAN-HEA-TAM-1LTR,mandala foods,tamarind paste,health,1 ltr,LTR,packets,mandala foods tamarind paste
1394.0,RAJ-STA-ORG-100GM,rajwadi foods,organic rava,staples,100 gm,GM,packets,rajwadi foods organic rava
1395.0,SHA-DAI-TOO-1KG,shakti foods,toor dal premium,dairy,1 kg,KG,packets,shakti foods toor dal premium
1396.0,VED-REA-COC-1KG,vedic provisions,coconut flour,ready mix,1 kg,KG,packets,vedic provisions coconut flour
1397.0,ANM-SNA-PRE-1LTR,anmol fresh,premium sattu,snacks,1 ltr,LTR,packets,anmol fresh premium sattu
1398.0,MAN-SPI-MUS-500ML,mandala foods,mustard chutney,spices,500 ml,ML,packets,mandala foods mustard chutney
1399.0,ANM-STA-TOO-500ML,anmol fresh,toor dal premium,staples,500 ml,ML,packets,anmol fresh toor dal premium
1400.0,ANA-REA-CHI-100GM,anand bazaar,chilli flakes,ready mix,100 gm,GM,packets,anand bazaar chilli flakes
1401.0,MAN-HEA-COC-250GM,mandala foods,coconut flour,health,250 gm,GM,packets,mandala foods coconut flour
1402.0,RAN-ORG-GUL-1LTR,ranchi fresh,gulkand syrup,organic,1 ltr,LTR,packets,ranchi fresh gulkand syrup
1403.0,ANN-CON-GUL-1LTR,annapoorna farms,gulkand syrup,condiments,1 ltr,LTR,packets,annapoorna farms gulkand syrup
1404.0,HIM-SPI-KAS-250GM,himalaya greens,kasuri methi,spices,250 gm,GM,packets,himalaya greens kasuri methi
1405.0,BHA-CON-MAS-500GM,bharat organics,masala papad,condiments,500 gm,GM,packets,bharat organics masala papad
1406.0,MAN-CON-MUS-1KG,mandala foods,mustard chutney,condiments,1 kg,KG,packets,mandala foods mustard chutney
1407.0,VED-SPI-SAT-250GM,vedic provisions,sattu drink mix,spices,250 gm,GM,packets,vedic provisions sattu drink mix
1408.0,KHA-HEA-TAM-500GM,khanna foods,tamarind paste,health,500 gm,GM,packets,khanna foods tamarind paste
1409.0,SWA-CON-GAR-1LTR,swaadindia,garlic paste,condiments,1 ltr,LTR,packets,swaadindia garlic paste
1410.0,TAS-SNA-CHI-500GM,tastybasket,chilli flakes,snacks,500 gm,GM,packets,tastybasket chilli flakes
1411.0,SHR-HEA-GAR-1KG,shree ganesh,garlic paste,health,1 kg,KG,packets,shree ganesh garlic paste
1412.0,RAJ-REA-COL-500ML,rajwadi foods,cold pressed mustard oil,ready mix,500 ml,ML,bottles,rajwadi foods cold pressed mustard oil
1413.0,JAI-CON-TOO-250GM,jai kisan,toor dal premium,condiments,250 gm,GM,packets,jai kisan toor dal premium
1414.0,HIM-HEA-TAM-250GM,himalaya greens,tamarind paste,health,250 gm,GM,packets,himalaya greens tamarind paste
1415.0,BHA-SNA-SES-500GM,bharat organics,sesame oil,snacks,500 gm,GM,bottles,bharat organics sesame oil
1416.0,JAI-BEV-MAS-1KG,jai kisan,masala papad,beverage,1 kg,KG,packets,jai kisan masala papad
1417.0,SAH-BEV-COL-1LTR,sahyadri farms,cold pressed mustard oil,beverage,1 ltr,LTR,bottles,sahyadri farms cold pressed mustard oil
1418.0,VED-ORG-BLA-500ML,vedic provisions,black rice,organic,500 ml,ML,bags,vedic provisions black rice
1419.0,TAS-DAI-GAR-500ML,tastybasket,garlic paste,dairy,500 ml,ML,packets,tastybasket garlic paste
1420.0,SAH-DAI-CHI-250GM,sahyadri farms,chilli flakes,dairy,250 gm,GM,packets,sahyadri farms chilli flakes
1421.0,PUR-HEA-KAS-1KG,puredesi,kasuri methi,health,1 kg,KG,packets,puredesi kasuri methi
1422.0,PAT-ORG-MUS-250GM,patanjali nature,mustard chutney,organic,250 gm,GM,packets,patanjali nature mustard chutney
1423.0,SAH-BEV-ORG-1KG,sahyadri farms,organic rava,beverage,1 kg,KG,packets,sahyadri farms organic rava
1424.0,IND-ORG-MUS-500GM,indian harvest,mustard chutney,organic,500 gm,GM,packets,indian harvest mustard chutney
1425.0,PAT-BEV-CHI-1LTR,patanjali nature,chilli flakes,beverage,1 ltr,LTR,packets,patanjali nature chilli flakes
1426.0,KIS-SPI-TAM-250GM,kisan plus,tamarind paste,spices,250 gm,GM,packets,kisan plus tamarind paste
1427.0,SAH-HEA-JAG-500ML,sahyadri farms,jaggery powder,health,500 ml,ML,packets,sahyadri farms jaggery powder
1428.0,PAT-DAI-COC-500GM,patanjali nature,coconut flour,dairy,500 gm,GM,packets,patanjali nature coconut flour
1429.0,MAN-ORG-SAT-100GM,mandala foods,sattu drink mix,organic,100 gm,GM,packets,mandala foods sattu drink mix
1430.0,MAN-SNA-PRE-1KG,mandala foods,premium sattu,snacks,1 kg,KG,packets,mandala foods premium sattu
1431.0,TRI-SPI-CHI-1KG,triveni foods,chilli flakes,spices,1 kg,KG,packets,triveni foods chilli flakes
1432.0,RAN-STA-COC-500GM,ranchi fresh,coconut flour,staples,500 gm,GM,packets,ranchi fresh coconut flour
1433.0,TRI-DAI-JAG-250GM,triveni foods,jaggery powder,dairy,250 gm,GM,packets,triveni foods jaggery powder
1434.0,ANM-BEV-COL-1LTR,anmol fresh,cold pressed mustard oil,beverage,1 ltr,LTR,bottles,anmol fresh cold pressed mustard oil
1435.0,KHA-BEV-CHI-100GM,khanna foods,chilli flakes,beverage,100 gm,GM,packets,khanna foods chilli flakes
1436.0,LOK-CON-KAS-500GM,lokmanya foods,kasuri methi,condiments,500 gm,GM,packets,lokmanya foods kasuri methi
1437.0,JAI-HEA-GAR-1LTR,jai kisan,garlic paste,health,1 ltr,LTR,packets,jai kisan garlic paste
1438.0,JAI-STA-TOO-500ML,jai kisan,toor dal premium,staples,500 ml,ML,packets,jai kisan toor dal premium
1439.0,MAN-ORG-TOO-1LTR,mandala foods,toor dal premium,organic,1 ltr,LTR,packets,mandala foods toor dal premium
1440.0,BHA-CON-PRE-500GM,bharat organics,premium sattu,condiments,500 gm,GM,packets,bharat organics premium sattu
1441.0,HEA-DAI-MUS-500ML,healthyroots,mustard chutney,dairy,500 ml,ML,packets,healthyroots mustard chutney
1442.0,ANM-CON-MUS-500GM,anmol fresh,mustard chutney,condiments,500 ml,GM,packets,anmol fresh mustard chutney
1443.0,PAT-STA-MAS-250GM,patanjali nature,masala papad,staples,250 gm,GM,packets,patanjali nature masala papad
1444.0,DES-BEV-MUS-250GM,deshvidesh,mustard chutney,beverage,250 gm,GM,packets,deshvidesh mustard chutney
1445.0,SAP-REA-KAS-500GM,sapna foods,kasuri methi,ready mix,500 gm,GM,packets,sapna foods kasuri methi
1446.0,ANA-REA-BAR-500GM,anand bazaar,barley flour,ready mix,500 gm,GM,packets,anand bazaar barley flour
1447.0,ANA-REA-SAT-500ML,anand bazaar,sattu drink mix,ready mix,500 ml,ML,packets,anand bazaar sattu drink mix
1448.0,RAN-DAI-MUS-100GM,ranchi fresh,mustard chutney,dairy,100 gm,GM,packets,ranchi fresh mustard chutney
1449.0,VED-BEV-SES-1LTR,vedic provisions,sesame oil,beverage,1 ltr,LTR,bottles,vedic provisions sesame oil
1450.0,ANN-ORG-PRE-1KG,annapoorna farms,premium sattu,organic,1 kg,KG,packets,annapoorna farms premium sattu
1451.0,RAS-SPI-PEA-250GM,rasoi magic,peanut butter (natural),spices,250 gm,GM,packets,rasoi magic peanut butter (natural)
1452.0,VED-HEA-MAS-500ML,vedic provisions,masala papad,health,500 ml,ML,packets,vedic provisions masala papad
1453.0,ORG-SPI-CHI-1LTR,organic roots,chilli flakes,spices,1 ltr,LTR,packets,organic roots chilli flakes
1454.0,ANN-SPI-COC-100GM,annapoorna farms,coconut flour,spices,100 gm,GM,packets,annapoorna farms coconut flour
1455.0,RAS-DAI-KAS-1KG,rasoi magic,kasuri methi,dairy,1 kg,KG,packets,rasoi magic kasuri methi
1456.0,PUR-REA-COL-100GM,puredesi,cold pressed mustard oil,ready mix,100 gm,GM,bottles,puredesi cold pressed mustard oil
1457.0,SAH-SPI-FOX-250GM,sahyadri farms,foxtail millet,spices,250 gm,GM,packets,sahyadri farms foxtail millet
